session,timestamp,epoch,loss
273,1979-01-04T07-45-00,1,0.626756
274,1979-01-04T08-00-00,1,0.625709
275,1979-01-04T08-15-00,1,0.626976
276,1979-01-04T08-30-00,1,0.628682
277,1979-01-04T08-45-00,1,0.626945
278,1979-01-04T09-00-00,1,0.625150
279,1979-01-04T09-15-00,1,0.629008
280,1979-01-04T09-30-00,1,0.628274
281,1979-01-04T09-45-00,1,0.626538
282,1979-01-04T10-00-00,1,0.625791
283,1979-01-04T10-15-00,1,0.625361
284,1979-01-04T10-30-00,1,0.625692
285,1979-01-04T10-45-00,1,0.625419
286,1979-01-04T11-00-00,1,0.630242
287,1979-01-04T11-15-00,1,0.626813
288,1979-01-04T11-30-00,1,0.626148
289,1979-01-04T11-45-00,1,0.624966
290,1979-01-04T12-00-00,1,0.627690
291,1979-01-04T12-15-00,1,0.625308
292,1979-01-04T12-30-00,1,0.629206
293,1979-01-04T12-45-00,1,0.626589
294,1979-01-04T13-00-00,1,0.625867
295,1979-01-04T13-15-00,1,0.627648
296,1979-01-04T13-30-00,1,0.628261
297,1979-01-04T13-45-00,1,0.627159
298,1979-01-04T14-00-00,1,0.631199
299,1979-01-04T14-15-00,1,0.627894
300,1979-01-04T14-30-00,1,0.629792
301,1979-01-04T14-45-00,1,0.625376
302,1979-01-04T15-00-00,1,0.629884
303,1979-01-04T15-15-00,1,0.627725
304,1979-01-04T15-30-00,1,0.625058
305,1979-01-04T15-45-00,1,0.627937
306,1979-01-04T16-00-00,1,0.631157
307,1979-01-04T16-15-00,1,0.626890
308,1979-01-04T16-30-00,1,0.625832
309,1979-01-04T16-45-00,1,0.624078
310,1979-01-04T17-00-00,1,0.631257
311,1979-01-04T17-15-00,1,0.626327
312,1979-01-04T17-30-00,1,0.625759
313,1979-01-04T17-45-00,1,0.623371
314,1979-01-04T18-00-00,1,0.626079
315,1979-01-04T18-15-00,1,0.626701
316,1979-01-04T18-30-00,1,0.626873
317,1979-01-04T18-45-00,1,0.626526
318,1979-01-04T19-00-00,1,0.625169
319,1979-01-04T19-15-00,1,0.628848
320,1979-01-04T19-30-00,1,0.626182
321,1979-01-04T19-45-00,1,0.625766
322,1979-01-04T20-00-00,1,0.628401
323,1979-01-04T20-15-00,1,0.629955
324,1979-01-04T20-30-00,1,0.626175
325,1979-01-04T20-45-00,1,0.628084
326,1979-01-04T21-00-00,1,0.627911
327,1979-01-04T21-15-00,1,0.625194
328,1979-01-04T21-30-00,1,0.624979
329,1979-01-04T21-45-00,1,0.626593
330,1979-01-04T22-00-00,1,0.621728
331,1979-01-04T22-15-00,1,0.622743
332,1979-01-04T22-30-00,1,0.623714
333,1979-01-04T22-45-00,1,0.624733
334,1979-01-04T23-00-00,1,0.623193
335,1979-01-04T23-15-00,1,0.624468
336,1979-01-04T23-30-00,1,0.626275
337,1979-01-04T23-45-00,1,0.625044
338,1979-01-05T00-00-00,1,0.623096
339,1979-01-05T00-15-00,1,0.627749
340,1979-01-05T00-30-00,1,0.625872
341,1979-01-05T00-45-00,1,0.627414
342,1979-01-05T01-00-00,1,0.623961
343,1979-01-05T01-15-00,1,0.625524
344,1979-01-05T01-30-00,1,0.624825
345,1979-01-05T01-45-00,1,0.623333
346,1979-01-05T02-00-00,1,0.625403
347,1979-01-05T02-15-00,1,0.623079
348,1979-01-05T02-30-00,1,0.623998
349,1979-01-05T02-45-00,1,0.624030
350,1979-01-05T03-00-00,1,0.626013
351,1979-01-05T03-15-00,1,0.624845
352,1979-01-05T03-30-00,1,0.621681
353,1979-01-05T03-45-00,1,0.624410
354,1979-01-05T04-00-00,1,0.623109
355,1979-01-05T04-15-00,1,0.622556
356,1979-01-05T04-30-00,1,0.624709
357,1979-01-05T04-45-00,1,0.625488
358,1979-01-05T05-00-00,1,0.625874
359,1979-01-05T05-15-00,1,0.623502
360,1979-01-05T05-30-00,1,0.626049
361,1979-01-05T05-45-00,1,0.622540
362,1979-01-05T06-00-00,1,0.626573
363,1979-01-05T06-15-00,1,0.624728
364,1979-01-05T06-30-00,1,0.626031
365,1979-01-05T06-45-00,1,0.624116
366,1979-01-05T07-00-00,1,0.623310
367,1979-01-05T07-15-00,1,0.626781
368,1979-01-05T07-30-00,1,0.624813
369,1979-01-05T07-45-00,1,0.623452
370,1979-01-05T08-00-00,1,0.623317
371,1979-01-05T08-15-00,1,0.623933
372,1979-01-05T08-30-00,1,0.623716
373,1979-01-05T08-45-00,1,0.623709
374,1979-01-05T09-00-00,1,0.621846
375,1979-01-05T09-15-00,1,0.624039
376,1979-01-05T09-30-00,1,0.625587
377,1979-01-05T09-45-00,1,0.622842
378,1979-01-05T10-00-00,1,0.620267
379,1979-01-05T10-15-00,1,0.620891
380,1979-01-05T10-30-00,1,0.621746
381,1979-01-05T10-45-00,1,0.622044
382,1979-01-05T11-00-00,1,0.623279
383,1979-01-05T11-15-00,1,0.622321
384,1979-01-05T11-30-00,1,0.619303
385,1979-01-05T11-45-00,1,0.621201
